Operator ID	Name	Country	Bundle
878	Delight PIN Netherlands	Netherlands	No
664	Deutsche Telekom PIN Germany	Germany	No
472	Dialog Sri Lanka	Sri Lanka	No
1180	Dialog Sri Lanka Data 	Sri Lanka	No
894	Digi Belize	Belize	No
287	DiGi Malaysia	Malaysia	No
1047	Digi Malaysia Data	Malaysia	No
11	Digicel Anguilla	Anguilla	No
13	Digicel Antigua and Barbuda	Antigua and Barbuda	No
1095	Digicel Antigua and Barbuda Combo Plan Bundles	Antigua and Barbuda	Yes
20	Digicel Aruba	Aruba	No
29	Digicel Barbados	Barbados	No
1094	Digicel Barbados Combo Plan Bundles	Barbados	Yes
34	Digicel Bermuda	Bermuda	No
333	Digicel Bonaire	Netherlands Antilles	No
45	Digicel British Virgin Islands	British Virgin Islands	No
67	Digicel Cayman Islands	Cayman Islands	No
332	Digicel Curacao	Netherlands Antilles	No
108	Digicel Dominica	Dominica	No
1093	Digicel Dominica Combo Plan Bundles	Dominica	Yes
121	Digicel El Salvador	El Salvador	No
126	Digicel El Salvador Bundles	El Salvador	Yes
1024	Digicel El Salvador Chivo Diaspora Bundles	El Salvador	Yes
1012	Digicel El Salvador Combo Plan Bundles	El Salvador	Yes
132	Digicel Fiji	Fiji	No
156	Digicel Grenada	Grenada	No
1092	Digicel Grenada Combo Plan Bundles	Grenada	Yes
171	Digicel Guyana	Guyana	No
1003	Digicel Guyana Bundles	Guyana	Yes
173	Digicel Haiti	Haiti	No
172	Digicel Haiti Bundles	Haiti	Yes
1297	Digicel Haiti Special Bundle	Haiti	No
257	Digicel Jamaica	Jamaica	No
256	Digicel Jamaica Bundles	Jamaica	Yes
290	Digicel Martinique	Martinique	No
1011	Digicel Montserrat	Montserrat	No
902	Digicel Panama	Panama	No
477	Digicel Saint Kitts And Nevis	Saint Kitts And Nevis	No
1023	Digicel Saint Kitts And Nevis Pro Bundles	Saint Kitts And Nevis	Yes
420	Digicel Samoa	Samoa	No
479	Digicel St Lucia	Saint Lucia	No
1021	Digicel St Lucia Pro Bundles	Saint Lucia	Yes
620	Digicel St Vincent Grenadines	Saint Vincent And The Grenadines	No
1022	Digicel St Vincent Grenadines Pro Bundles	Saint Vincent And The Grenadines	Yes
482	Digicel Suriname	Suriname	No
1014	Digicel Suriname Combo Plan Bundles	Suriname	Yes
504	Digicel Trinidad Tobago	Trinidad and Tobago	No
505	Digicel Trinidad Tobago Bundles	Trinidad and Tobago	Yes
1013	Digicel Trinidad Tobago Combo Plan Bundles	Trinidad and Tobago	Yes
513	Digicel Turks and Caicos	Turks And Caicos Islands	No
452	Digimobil Spain	Spain	No
